Country,,Country,Medal_Two_Prior,Event,Medal_One_Prior,Medal_Hosted,Medal_One_Next,Medal_Two_Next
China,74169651,China,No Medal,Badminton Women's Doubles,Gold,Bronze,No Medal,No Medal
China,74317498,China,No Medal,Athletics Women's Marathon,No Medal,Bronze,No Medal,No Medal
China,74317463,China,No Medal,Beach Volleyball Women's Beach Volleyball,No Medal,Bronze,No Medal,No Medal
China,74169655,China,No Medal,Weightlifting Women's Lightweight,Gold,Gold,No Medal,No Medal
China,74169629,China,No Medal,Table Tennis Men's Singles,Bronze,Silver,No Medal,No Medal
China,74317452,China,No Medal,Swimming Women's 200 metres Butterfly,No Medal,Gold,No Medal,No Medal
China,74169695,China,No Medal,Judo Women's Extra-Lightweight,Bronze,No Medal,No Medal,No Medal
China,74317467,China,No Medal,Trampolining Men's Individual,No Medal,Gold,No Medal,No Medal
China,74169646,China,No Medal,Diving Women's Platform,Silver,Bronze,No Medal,No Medal
China,74317500,China,No Medal,Archery Men's Team,No Medal,Bronze,No Medal,No Medal
China,74169631,China,No Medal,Table Tennis Men's Singles,Bronze,Bronze,No Medal,No Medal
China,74169683,China,No Medal,Badminton Women's Singles,Gold,Gold,No Medal,No Medal
China,74317477,China,No Medal,Gymnastics Women's Team All-Around,No Medal,Gold,No Medal,No Medal
China,74169684,China,No Medal,Badminton Women's Singles,Bronze,Silver,No Medal,No Medal
China,74317451,China,No Medal,Swimming Women's 200 metres Butterfly,No Medal,Silver,No Medal,No Medal
China,74317497,China,No Medal,Boxing Men's Welterweight,No Medal,Bronze,No Medal,No Medal
China,74169653,China,No Medal,"Wrestling Women's Heavyweight, Freestyle",Gold,Gold,No Medal,No Medal
China,74317457,China,No Medal,Hockey Women's Hockey,No Medal,Silver,No Medal,No Medal
China,74317472,China,No Medal,"Shooting Women's Sporting Pistol, 25 metres",No Medal,Gold,No Medal,No Medal
China,74169696,China,No Medal,Gymnastics Women's Individual All-Around,Bronze,Bronze,No Medal,No Medal
China,74317458,China,No Medal,Gymnastics Men's Rings,No Medal,Silver,No Medal,No Medal
China,74317493,China,No Medal,Judo Women's Lightweight,No Medal,Bronze,No Medal,No Medal
China,74317468,China,No Medal,Trampolining Men's Individual,No Medal,Bronze,No Medal,No Medal
China,74169670,China,No Medal,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold,Gold,No Medal,No Medal
China,74169674,China,No Medal,Diving Women's Synchronized Springboard,Gold,Gold,No Medal,No Medal
Finland,74319248,Finland,No Medal,Boxing Men's Heavyweight,No Medal,Bronze,No Medal,No Medal
Finland,74313132,Finland,No Medal,"Wrestling Men's Flyweight, Greco-Roman",Bronze,Bronze,No Medal,No Medal
Finland,74323905,Finland,No Medal,Rowing Men's Coxless Pairs,No Medal,No Medal,No Medal,Bronze
Finland,74323538,Finland,No Medal,Modern Pentathlon Men's Individual,No Medal,No Medal,Bronze,No Medal
Finland,74313134,Finland,No Medal,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,Gold,No Medal,No Medal
Finland,7130,Finland,Bronze,"Athletics Men's 10,000 metres",No Medal,No Medal,No Medal,No Medal
Finland,7127,Finland,Gold,"Athletics Men's 3,000 metres Steeplechase",No Medal,No Medal,No Medal,No Medal
Finland,7123,Finland,Bronze,Athletics Men's Javelin Throw,Gold,Bronze,No Medal,No Medal
Finland,74313124,Finland,No Medal,"Art Competitions Mixed Music, Compositions For Orchestra",Silver,No Medal,No Medal,No Medal
Finland,74319237,Finland,No Medal,"Canoeing Women's Kayak Singles, 500 metres",No Medal,Gold,No Medal,No Medal
Finland,74313120,Finland,No Medal,Gymnastics Men's Horse Vault,Gold,No Medal,No Medal,No Medal
Finland,74313131,Finland,No Medal,"Art Competitions Mixed Architecture, Designs For Town Planning",Bronze,No Medal,No Medal,No Medal
Finland,74313118,Finland,No Medal,Gymnastics Men's Parallel Bars,Silver,No Medal,No Medal,No Medal
Finland,74319240,Finland,No Medal,"Shooting Men's Running Target, Single And Double Shot",No Medal,Bronze,No Medal,No Medal
Finland,74323544,Finland,No Medal,Athletics Men's 400 metres,No Medal,No Medal,Bronze,No Medal
Finland,74313129,Finland,No Medal,"Art Competitions Mixed Literature, Lyric Works",Gold,No Medal,No Medal,No Medal
Finland,74319243,Finland,No Medal,Modern Pentathlon Men's Team,No Medal,Bronze,Bronze,No Medal
